,score_S,score_G2M,Cell Type,Predicted Cell Type for Custom Sparse Model,Predicted Cell Type for Custom Sparse Model (GBM data),Predicted Cell Type,Predicted Cell Type for Custom Sparse Model (GBM data) 
0,-0.0293405143925854,-0.13626345170197,Macrophage,Malignant,Malignant,Malignant,Malignant
1,-0.110006758504428,-0.113939806772559,Macrophage,Malignant,Malignant,Malignant,Malignant
2,-0.0807733102532559,-0.0078211132163832,Macrophage,T cells,T cells,T cells,T cells
3,-0.146008542225479,-0.0817656434247713,Macrophage,T cells,T cells,T cells,T cells
4,-0.0523924300437632,-0.100400202573363,Macrophage,T cells,T cells,T cells,T cells
5,0.443447945257734,0.561744041144791,Macrophage,T cells,T cells,T cells,T cells
6,0.309419808757521,-0.0248506967260725,Macrophage,T cells,T cells,T cells,T cells
7,-0.118031729287545,-0.144433807754979,Macrophage,T cells,T cells,T cells,T cells
8,-0.120856683833153,-0.0287737359588197,Macrophage,T cells,T cells,T cells,T cells
9,-0.0632408128316967,-0.0864789790214089,Macrophage,Malignant,Malignant,Malignant,Malignant
10,-0.209136013290553,-0.0479549792651415,Macrophage,Malignant,Malignant,Malignant,Malignant
11,-0.119009165576686,-0.0811788411894657,Macrophage,Malignant,Malignant,Malignant,Malignant
12,-0.107393187024209,-0.158920633667192,Macrophage,T cells,T cells,T cells,T cells
13,-0.0421686395251372,0.0440547005016993,Macrophage,Malignant,Malignant,Malignant,Malignant
14,-0.0567159797659264,-0.103590693255979,Macrophage,T cells,T cells,T cells,T cells
15,-0.0409749842188279,-0.115622529732303,Macrophage,T cells,T cells,T cells,T cells
16,0.686415896570213,0.0226560545456472,Macrophage,T cells,T cells,T cells,T cells
17,-0.0894389421614401,-0.18320006925401,Macrophage,T cells,T cells,T cells,T cells
18,-0.172898266977921,-0.0965573760494091,Macrophage,T cells,T cells,T cells,T cells
19,0.0017793143761702,-0.0689625795072459,Macrophage,T cells,T cells,T cells,T cells
20,-0.143076739136554,-0.100537959400883,Macrophage,T cells,T cells,T cells,T cells
21,-0.0615496418978556,-0.0935241140812666,Macrophage,Malignant,Malignant,Malignant,Malignant
22,-0.0682769887383507,-0.154368503350541,Macrophage,T cells,T cells,T cells,T cells
23,0.0041288455186996,-0.0591908612154939,Macrophage,T cells,T cells,T cells,T cells
24,-0.144644067027967,-0.089181458453263,Macrophage,Malignant,Malignant,Malignant,Malignant
25,-0.0881741125251713,-0.200581137966327,Macrophage,T cells,T cells,T cells,T cells
26,-0.127485592230132,-0.0125719151717053,Macrophage,T cells,T cells,T cells,T cells
27,-0.100704253751925,-0.0836598019207788,Macrophage,T cells,T cells,T cells,T cells
28,-0.0402641433134699,-0.179305528994162,Macrophage,T cells,T cells,T cells,T cells
29,-0.190511348923267,-0.117630719299474,Macrophage,Malignant,Malignant,Malignant,Malignant
30,0.386351129348446,0.458921289368859,Macrophage,T cells,T cells,T cells,T cells
31,-0.0765310751939312,-0.114658684678746,Macrophage,T cells,T cells,T cells,T cells
32,-0.182617591720487,-0.137264663821536,Macrophage,Malignant,Malignant,Malignant,Malignant
33,-0.160690938626153,-0.0340960730934246,Macrophage,T cells,T cells,T cells,T cells
34,-0.0249526553149896,-0.11222480147212,Macrophage,Malignant,Malignant,Malignant,Malignant
35,-0.149841666002854,-0.0957411502262614,Macrophage,Malignant,Malignant,Malignant,Malignant
36,-0.103930144698311,-0.077711578739033,Macrophage,T cells,T cells,T cells,T cells
37,-0.0461009698367542,0.015479999314591,Macrophage,Malignant,Malignant,Malignant,Malignant
38,0.326680871642313,0.0567799302723065,Macrophage,T cells,T cells,T cells,T cells
39,-0.0930522520674284,-0.106299540240389,Macrophage,Malignant,Malignant,Malignant,Malignant
40,-0.138753819964721,-0.0309047852155508,Macrophage,T cells,T cells,T cells,T cells
41,-0.120558282030801,-0.107453495580348,Macrophage,T cells,T cells,T cells,T cells
42,-0.0062770272596626,-0.0290911980101272,Macrophage,Malignant,Malignant,Malignant,Malignant
43,-0.113084077153892,-0.162627437377069,Macrophage,Malignant,Malignant,Malignant,Malignant
44,-0.0291697798230657,-0.0304222771448036,Macrophage,T cells,T cells,T cells,T cells
45,-0.0393814813251511,0.0463546385519613,Macrophage,T cells,T cells,T cells,T cells
46,-0.174133794388823,-0.149574021493656,Macrophage,Malignant,Malignant,Malignant,Malignant
47,-0.175460158201775,-0.0840989504545848,Malignant,Malignant,Malignant,Malignant,Malignant
48,0.65358543306564,0.320014776473976,Malignant,Malignant,Malignant,Malignant,Malignant
49,-0.137827119151071,-0.215788799740043,Malignant,Malignant,Malignant,Malignant,Malignant
50,0.727558412953849,0.269162002779172,Malignant,Malignant,Malignant,Malignant,Malignant
51,-0.203884311581503,-0.150850854458617,Malignant,Malignant,Malignant,Malignant,Malignant
52,0.22638606601539,0.876627515897852,Malignant,Malignant,Malignant,Malignant,Malignant
53,0.508071276128289,0.100575436445668,Malignant,Malignant,Malignant,Malignant,Malignant
54,0.0126363161855643,-0.178018068783135,Malignant,Malignant,Malignant,Malignant,Malignant
55,0.510084735522815,0.411363150560219,Malignant,Malignant,Malignant,Malignant,Malignant
56,0.364338847521302,-0.0882050479562644,Malignant,Malignant,Malignant,Malignant,Malignant
57,-0.0907260488683091,0.732170239532657,Malignant,Malignant,Malignant,Malignant,Malignant
