ID	Cell_Type
HP1502401	11
HP1502401	5
HP1502401	7
HP1502401	2
HP1502401	5
HP1502401	7
HP1502401	11
HP1502401	8
HP1502401	0
HP1502401	8
HP1502401	2
HP1502401	2
HP1502401	0
HP1502401	7
HP1502401	0
HP1502401	7
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1502401	14
HP1502401	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	2
HP1502401	5
HP1502401	5
HP1504101T2D	0
HP1502401	7
HP1502401	5
HP1504101T2D	7
HP1502401	5
HP1504101T2D	8
HP1504101T2D	0
HP1502401	7
HP1502401	14
HP1504101T2D	8
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1502401	7
HP1504101T2D	7
HP1502401	0
HP1502401	14
HP1504101T2D	8
HP1502401	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	3
HP1504101T2D	0
HP1502401	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	8
HP1502401	0
HP1502401	0
HP1502401	5
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	8
HP1502401	7
HP1504101T2D	0
HP1502401	0
HP1502401	5
HP1504101T2D	0
HP1502401	5
HP1502401	0
HP1504101T2D	2
HP1504101T2D	0
HP1502401	2
HP1502401	5
HP1504101T2D	0
HP1504101T2D	0
HP1502401	11
HP1502401	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1502401	5
HP1502401	0
HP1502401	0
HP1504101T2D	7
HP1502401	5
HP1504101T2D	4
HP1502401	7
HP1504101T2D	0
HP1502401	0
HP1502401	0
HP1502401	2
HP1504101T2D	0
HP1502401	14
HP1504101T2D	0
HP1504101T2D	1
HP1504101T2D	13
HP1504101T2D	13
HP1504101T2D	8
HP1502401	7
HP1504101T2D	2
HP1502401	5
HP1504101T2D	0
HP1502401	10
HP1502401	5
HP1502401	0
HP1502401	5
HP1502401	5
HP1502401	5
HP1504101T2D	8
HP1504101T2D	7
HP1502401	5
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	11
HP1504101T2D	0
HP1504101T2D	1
HP1504101T2D	0
HP1504101T2D	0
HP1502401	5
HP1504101T2D	8
HP1502401	0
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1502401	8
HP1504101T2D	8
HP1502401	14
HP1504101T2D	8
HP1504101T2D	0
HP1502401	11
HP1502401	0
HP1502401	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	5
HP1504101T2D	0
HP1504101T2D	0
HP1502401	7
HP1504101T2D	8
HP1504101T2D	8
HP1504101T2D	8
HP1502401	5
HP1502401	5
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	11
HP1502401	7
HP1502401	8
HP1502401	11
HP1502401	5
HP1502401	5
HP1502401	0
HP1502401	5
HP1502401	8
HP1504101T2D	0
HP1502401	7
HP1502401	5
HP1502401	2
HP1504101T2D	0
HP1502401	14
HP1504101T2D	7
HP1504101T2D	0
HP1504101T2D	8
HP1502401	7
HP1502401	7
HP1504101T2D	8
HP1502401	5
HP1502401	5
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1502401	0
HP1502401	0
HP1502401	11
HP1504101T2D	2
HP1502401	0
HP1502401	0
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1502401	1
HP1504101T2D	7
HP1504101T2D	0
HP1502401	7
HP1504101T2D	5
HP1502401	0
HP1504101T2D	0
HP1502401	5
HP1502401	7
HP1502401	11
HP1504101T2D	8
HP1504101T2D	8
HP1502401	7
HP1504101T2D	7
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	8
HP1502401	5
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	13
HP1504101T2D	8
HP1502401	7
HP1502401	7
HP1502401	11
HP1504101T2D	8
HP1504101T2D	7
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	0
HP1504101T2D	0
HP1502401	7
HP1502401	5
HP1502401	8
HP1502401	2
HP1502401	14
HP1502401	11
HP1502401	7
HP1504101T2D	8
HP1502401	7
HP1502401	14
HP1504101T2D	0
HP1502401	11
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	0
HP1504101T2D	0
HP1502401	5
HP1502401	11
HP1504101T2D	0
HP1502401	7
HP1502401	5
HP1502401	5
HP1502401	7
HP1502401	0
HP1502401	11
HP1504101T2D	0
HP1504101T2D	0
HP1502401	0
HP1502401	7
HP1502401	0
HP1504101T2D	6
HP1502401	14
HP1504101T2D	13
